date,sio,signal
20260317,77.98,과매수 ⚠
20260318,94.21,패닉 바잉 🔴
20260319,-75.33,과매도 ⚠
20260320,62.98,과매수 ⚠
20260323,-94.18,패닉 셀링 🔵
20260324,82.03,패닉 바잉 🔴
20260325,84.93,패닉 바잉 🔴
20260326,-86.64,패닉 셀링 🔵
20260327,-67.14,과매도 ⚠
20260330,-85.35,패닉 셀링 🔵
20260331,-90.97,패닉 셀링 🔵
20260401,95.13,패닉 바잉 🔴
20260402,-85.56,패닉 셀링 🔵
20260403,84.53,패닉 바잉 🔴
20260406,64.47,과매수 ⚠
20260407,54.65,과매수 ⚠
20260408,93.88,패닉 바잉 🔴
20260409,-59.18,과매도 ⚠
20260410,85.43,패닉 바잉 🔴
20260413,-51.29,과매도 ⚠
20260414,81.69,패닉 바잉 🔴
20260415,82.07,패닉 바잉 🔴
20260416,86.95,패닉 바잉 🔴
20260417,-55.87,과매도 ⚠
20260420,59.6,과매수 ⚠
20260421,82.38,패닉 바잉 🔴
20260422,69.0,과매수 ⚠
20260423,63.19,과매수 ⚠
20260424,67.44,과매수 ⚠
20260427,80.22,패닉 바잉 🔴
20260428,65.64,과매수 ⚠
20260429,68.69,과매수 ⚠
20260430,-69.5,과매도 ⚠
20260504,84.26,패닉 바잉 🔴
20260506,75.24,과매수 ⚠
20260507,57.4,과매수 ⚠
20260508,51.97,과매수 ⚠
20260511,64.91,과매수 ⚠
20260512,-80.63,패닉 셀링 🔵
20260513,70.62,과매수 ⚠
20260514,66.2,과매수 ⚠
20260515,-87.68,패닉 셀링 🔵
20260518,-57.14,과매도 ⚠
20260519,-88.6,패닉 셀링 🔵
20260520,-66.54,과매도 ⚠
20260521,96.81,패닉 바잉 🔴
20260522,78.48,과매수 ⚠
20260526,73.82,과매수 ⚠
20260527,50.38,과매수 ⚠
20260528,-57.75,과매도 ⚠
20260529,80.1,패닉 바잉 🔴
20260601,71.78,과매수 ⚠
20260602,-66.6,과매도 ⚠
20260604,-70.72,과매도 ⚠
20260605,-89.09,패닉 셀링 🔵
20260608,-94.82,패닉 셀링 🔵
20260609,89.12,패닉 바잉 🔴
20260610,-77.54,과매도 ⚠
20260611,61.55,과매수 ⚠
20260612,83.44,패닉 바잉 🔴
20260615,90.23,패닉 바잉 🔴
20260616,80.48,패닉 바잉 🔴
20260617,59.51,과매수 ⚠
20260618,53.97,과매수 ⚠
20260619,-55.62,과매도 ⚠
20260622,-56.38,과매도 ⚠
20260623,-98.25,패닉 셀링 🔵
20260624,68.32,과매수 ⚠
20260625,74.8,과매수 ⚠
