date,sio,signal
20260213,-65.47,과매도 ⚠
20260219,88.1,패닉 바잉 🔴
20260220,-54.52,과매도 ⚠
20260223,53.81,과매수 ⚠
20260224,70.98,과매수 ⚠
20260225,53.52,과매수 ⚠
20260226,72.03,과매수 ⚠
20260227,56.17,과매수 ⚠
20260303,-79.69,과매도 ⚠
20260304,-95.43,패닉 셀링 🔵
20260305,98.42,패닉 바잉 🔴
20260306,86.77,패닉 바잉 🔴
20260309,-76.93,과매도 ⚠
20260310,83.19,패닉 바잉 🔴
20260311,56.58,과매수 ⚠
20260312,70.7,과매수 ⚠
20260313,63.09,과매수 ⚠
20260316,-57.34,과매도 ⚠
20260317,51.06,과매수 ⚠
20260318,82.01,패닉 바잉 🔴
20260319,-62.67,과매도 ⚠
20260320,70.35,과매수 ⚠
20260323,-82.62,패닉 셀링 🔵
20260324,72.54,과매수 ⚠
20260325,84.38,패닉 바잉 🔴
20260326,-59.55,과매도 ⚠
20260327,59.68,과매수 ⚠
20260330,-68.42,과매도 ⚠
20260331,-84.87,패닉 셀링 🔵
20260401,90.63,패닉 바잉 🔴
20260402,-76.89,과매도 ⚠
20260403,64.94,과매수 ⚠
20260406,-64.52,과매도 ⚠
20260407,-61.75,과매도 ⚠
20260408,88.32,패닉 바잉 🔴
20260409,-58.97,과매도 ⚠
20260410,80.22,패닉 바잉 🔴
20260413,71.57,과매수 ⚠
20260414,83.29,패닉 바잉 🔴
20260415,84.21,패닉 바잉 🔴
20260416,65.68,과매수 ⚠
20260417,65.5,과매수 ⚠
20260420,63.31,과매수 ⚠
20260421,57.27,과매수 ⚠
20260422,61.66,과매수 ⚠
20260423,50.92,과매수 ⚠
20260424,85.72,패닉 바잉 🔴
20260427,77.94,과매수 ⚠
20260428,-57.36,과매도 ⚠
20260429,64.58,과매수 ⚠
20260430,-67.08,과매도 ⚠
20260504,80.39,패닉 바잉 🔴
20260506,52.41,과매수 ⚠
20260507,-53.62,과매도 ⚠
20260508,67.76,과매수 ⚠
20260511,61.67,과매수 ⚠
20260512,-66.66,과매도 ⚠
20260513,56.37,과매수 ⚠
20260514,64.27,과매수 ⚠
20260515,-82.71,패닉 셀링 🔵
20260518,-57.34,과매도 ⚠
20260519,-67.9,과매도 ⚠
20260520,-64.23,과매도 ⚠
20260521,84.09,패닉 바잉 🔴
20260522,89.7,패닉 바잉 🔴
20260526,67.18,과매수 ⚠
20260527,-78.61,과매도 ⚠
20260528,-71.15,과매도 ⚠
20260529,-79.06,과매도 ⚠
20260601,-71.52,과매도 ⚠
20260602,-68.26,과매도 ⚠
20260604,73.29,과매수 ⚠
20260605,-79.0,과매도 ⚠
20260608,-94.08,패닉 셀링 🔵
20260609,92.49,패닉 바잉 🔴
20260610,-67.84,과매도 ⚠
20260611,90.82,패닉 바잉 🔴
20260612,79.37,과매수 ⚠
20260615,54.33,과매수 ⚠
20260616,-64.74,과매도 ⚠
20260617,69.53,과매수 ⚠
20260618,-75.02,과매도 ⚠
20260619,-88.95,패닉 셀링 🔵
20260622,57.94,과매수 ⚠
20260623,-92.48,패닉 셀링 🔵
20260624,69.54,과매수 ⚠
20260625,-71.95,과매도 ⚠
